organism,antibiotic,count_full,organism_name,antibiotic_name
16,21,38542,SERRATIA MARCESCENS,Other
7,27,28710,ESCHERICHIA COLI,Trimethoprim/Sulfamethoxazole
7,10,28632,ESCHERICHIA COLI,Ciprofloxacin
7,14,28575,ESCHERICHIA COLI,Gentamicin
7,2,28306,ESCHERICHIA COLI,Ampicillin
7,24,27055,ESCHERICHIA COLI,Piperacillin/Tazobactam
7,16,26406,ESCHERICHIA COLI,Levofloxacin
7,5,26322,ESCHERICHIA COLI,Cefazolin
7,9,25852,ESCHERICHIA COLI,Ceftriaxone
7,18,25182,ESCHERICHIA COLI,Meropenem
7,12,24179,ESCHERICHIA COLI,Ertapenem
7,8,24132,ESCHERICHIA COLI,Ceftazidime
7,25,23134,ESCHERICHIA COLI,Tetracycline
7,7,21876,ESCHERICHIA COLI,Cefoxitin
7,1,21007,ESCHERICHIA COLI,Amoxicillin/Clavulanic Acid
7,20,18532,ESCHERICHIA COLI,Nitrofurantoin
7,0,17985,ESCHERICHIA COLI,Amikacin
16,10,15592,SERRATIA MARCESCENS,Ciprofloxacin
16,16,15586,SERRATIA MARCESCENS,Levofloxacin
16,24,15565,SERRATIA MARCESCENS,Piperacillin/Tazobactam
16,8,15416,SERRATIA MARCESCENS,Ceftazidime
16,4,15390,SERRATIA MARCESCENS,Aztreonam
16,19,15315,SERRATIA MARCESCENS,Moxifloxacin
7,26,14201,ESCHERICHIA COLI,Tobramycin
7,6,11033,ESCHERICHIA COLI,Cefepime
7,21,10351,ESCHERICHIA COLI,Other
9,21,10262,KLEBSIELLA PNEUMONIAE,Other
9,2,10228,KLEBSIELLA PNEUMONIAE,Ampicillin
9,27,10228,KLEBSIELLA PNEUMONIAE,Trimethoprim/Sulfamethoxazole
9,14,10225,KLEBSIELLA PNEUMONIAE,Gentamicin
9,10,10218,KLEBSIELLA PNEUMONIAE,Ciprofloxacin
9,24,10003,KLEBSIELLA PNEUMONIAE,Piperacillin/Tazobactam
15,26,10000,PSEUDOMONAS AERUGINOSA,Tobramycin
9,16,9823,KLEBSIELLA PNEUMONIAE,Levofloxacin
9,5,9693,KLEBSIELLA PNEUMONIAE,Cefazolin
7,3,9390,ESCHERICHIA COLI,Ampicillin/Sulbactam
15,6,9238,PSEUDOMONAS AERUGINOSA,Cefepime
15,0,9204,PSEUDOMONAS AERUGINOSA,Amikacin
15,14,9029,PSEUDOMONAS AERUGINOSA,Gentamicin
7,4,8904,ESCHERICHIA COLI,Aztreonam
15,24,8872,PSEUDOMONAS AERUGINOSA,Piperacillin/Tazobactam
9,9,8711,KLEBSIELLA PNEUMONIAE,Ceftriaxone
15,8,8486,PSEUDOMONAS AERUGINOSA,Ceftazidime
9,18,8400,KLEBSIELLA PNEUMONIAE,Meropenem
9,1,8179,KLEBSIELLA PNEUMONIAE,Amoxicillin/Clavulanic Acid
9,12,8136,KLEBSIELLA PNEUMONIAE,Ertapenem
7,15,8130,ESCHERICHIA COLI,Imipenem
16,27,7936,SERRATIA MARCESCENS,Trimethoprim/Sulfamethoxazole
16,14,7936,SERRATIA MARCESCENS,Gentamicin
9,0,7928,KLEBSIELLA PNEUMONIAE,Amikacin
16,2,7913,SERRATIA MARCESCENS,Ampicillin
16,3,7912,SERRATIA MARCESCENS,Ampicillin/Sulbactam
9,8,7901,KLEBSIELLA PNEUMONIAE,Ceftazidime
16,5,7861,SERRATIA MARCESCENS,Cefazolin
16,9,7760,SERRATIA MARCESCENS,Ceftriaxone
16,7,7748,SERRATIA MARCESCENS,Cefoxitin
16,18,7746,SERRATIA MARCESCENS,Meropenem
16,6,7735,SERRATIA MARCESCENS,Cefepime
9,25,7717,KLEBSIELLA PNEUMONIAE,Tetracycline
16,0,7677,SERRATIA MARCESCENS,Amikacin
16,1,7677,SERRATIA MARCESCENS,Amoxicillin/Clavulanic Acid
16,12,7677,SERRATIA MARCESCENS,Ertapenem
16,25,7676,SERRATIA MARCESCENS,Tetracycline
16,26,7668,SERRATIA MARCESCENS,Tobramycin
9,26,7398,KLEBSIELLA PNEUMONIAE,Tobramycin
9,7,6964,KLEBSIELLA PNEUMONIAE,Cefoxitin
7,19,6803,ESCHERICHIA COLI,Moxifloxacin
15,10,6777,PSEUDOMONAS AERUGINOSA,Ciprofloxacin
12,2,5808,OTHER,Ampicillin
15,16,5463,PSEUDOMONAS AERUGINOSA,Levofloxacin
15,18,4970,PSEUDOMONAS AERUGINOSA,Meropenem
12,23,4778,OTHER,Penicillin
12,28,4510,OTHER,Vancomycin
15,21,4346,PSEUDOMONAS AERUGINOSA,Other
6,2,4327,ENTEROCOCCUS SPECIES,Ampicillin
6,25,4309,ENTEROCOCCUS SPECIES,Tetracycline
6,16,4306,ENTEROCOCCUS SPECIES,Levofloxacin
6,20,4240,ENTEROCOCCUS SPECIES,Nitrofurantoin
12,27,4059,OTHER,Trimethoprim/Sulfamethoxazole
12,10,3980,OTHER,Ciprofloxacin
12,16,3940,OTHER,Levofloxacin
9,6,3792,KLEBSIELLA PNEUMONIAE,Cefepime
6,10,3398,ENTEROCOCCUS SPECIES,Ciprofloxacin
12,14,3389,OTHER,Gentamicin
9,3,3283,KLEBSIELLA PNEUMONIAE,Ampicillin/Sulbactam
12,5,3162,OTHER,Cefazolin
9,20,3155,KLEBSIELLA PNEUMONIAE,Nitrofurantoin
18,28,3131,STAPHYLOCOCCUS AUREUS,Vancomycin
