feature,mean_abs_shap
antibiotic,16.201967983762252
gender,1.0791283801195857
n_med_categories,0.7395512260866608
min_time_to_med,0.56404236850126
has_transplant,0.476810711417434
Q75_heartrate,0.4555919839746535
Q75_sysbp,0.44663458902547337
age,0.40152129426206684
Q75_plt,0.39451299377928256
Q25_heartrate,0.3888009968669802
has_ckd,0.3873387570356656
min_time_to_class,0.38358340123935747
median_plt,0.3759896314409803
median_sysbp,0.37064260724053527
Q25_plt,0.34381723328780345
Q75_hco3,0.3299390594007005
median_diasbp,0.30958574698663827
Q25_cr,0.2972365047202757
has_immunosuppression,0.28360673997749325
Q75_lactate,0.28354284462853
Q75_resprate,0.2803607847586693
median_heartrate,0.26155993807657557
Q75_cr,0.2610404825077317
organism,0.2476030520886667
has_dementia,0.22683452166871818
has_diabetes,0.22307378095649402
Q75_diasbp,0.22195923760929606
Q75_temp,0.2095282832087839
Q25_hgb,0.20614517145497793
Q25_diasbp,0.20017851264085584
Q25_sysbp,0.1966402086551258
Q75_bun,0.1745886141164782
Q25_temp,0.1745100809387795
median_neutrophils,0.17432128381963935
Q75_hgb,0.15810504457978544
median_cr,0.1570446911829829
Q25_na,0.149785761603755
median_wbc,0.14592817670719782
Q75_wbc,0.14589261653991345
Q25_bun,0.1424630996772975
Q25_resprate,0.14008113893965052
Q75_na,0.1380691554814298
median_resprate,0.13128700353274086
median_hco3,0.12548014728447768
Q25_hco3,0.112957822336194
Q25_wbc,0.11142146528928339
antibiotic_class,0.10654616600045451
median_temp,0.1022441483610533
median_hgb,0.09995929609419155
has_liver_disease,0.09539739372509808
has_cancer,0.08904523631933368
Q75_neutrophils,0.08412745070608847
has_chf,0.07871899448090315
median_na,0.07566873573484545
has_stroke,0.07462214183435262
Q25_lymphocytes,0.0690935225030652
has_copd,0.06732960599216442
median_bun,0.06311315317855824
median_lactate,0.05829109999402698
med_within_30_days,0.05371146818645911
Q25_lactate,0.04397817484862381
Q25_neutrophils,0.03785793125992507
Q75_lymphocytes,0.02395181591320138
median_lymphocytes,0.015393313848178334
Period_Day,0.005754616367953327
has_other_comorbid,0.00026410196646012995
