feature,mean_abs_shap
antibiotic,3.3607725736452037
organism,2.7204487452938055
Q75_hco3,0.5460839260949302
gender,0.5346301477960661
min_time_to_med,0.5268669605779147
age,0.49050740275380067
Q25_sysbp,0.4851218410700896
Q75_plt,0.47262440181496607
Q75_heartrate,0.46751666639114187
min_time_to_class,0.44605816366066947
n_med_categories,0.42736185269939914
has_ckd,0.39158604898261795
Q25_cr,0.36764138856741146
has_immunosuppression,0.3618776001407548
Q75_cr,0.33180725962731256
Q75_resprate,0.3268076670760681
Q75_temp,0.3115960681546521
Q75_neutrophils,0.29547989661801016
Q25_na,0.28840169546073163
median_plt,0.22163722406383504
Q75_diasbp,0.21620442487180702
median_hco3,0.2132064256901136
Q75_sysbp,0.2115809053365723
Q75_bun,0.21005942489256246
median_sysbp,0.20853845656359643
Q25_hgb,0.20345120531689986
Q75_wbc,0.20129106459604634
Q25_plt,0.18833435390635322
has_transplant,0.18012593561307175
Q75_lactate,0.17898411359410588
Q25_heartrate,0.1769898103075948
Q25_hco3,0.17098777334855964
median_diasbp,0.17055647172894103
has_dementia,0.1678911134017439
has_cancer,0.16520074955954478
Q25_lactate,0.16473209885012224
Q75_hgb,0.15874272198378286
Q25_resprate,0.15737978135540007
median_cr,0.1568366548840023
Q25_bun,0.15339731463156248
Q75_na,0.15173917088733624
has_diabetes,0.14985859662089657
median_hgb,0.14809443562699262
median_wbc,0.14169820025342078
Q25_temp,0.14156906299833547
median_heartrate,0.13966284975533463
Q25_diasbp,0.13909086345001573
median_bun,0.09704206958822245
has_copd,0.08891204660094656
median_temp,0.08145818517836588
has_liver_disease,0.08079739223360223
median_lactate,0.07957898378190663
median_neutrophils,0.07768191522587797
antibiotic_class,0.06879602966275233
Q25_wbc,0.06751082849445887
median_na,0.06438681499907545
Q25_neutrophils,0.06037443616462362
has_stroke,0.05945351921234641
Q25_lymphocytes,0.051068271664080366
median_resprate,0.0506504988645888
has_chf,0.04365588242919206
Q75_lymphocytes,0.026175308310109602
median_lymphocytes,0.021436383066438715
med_within_30_days,0.014626005377047155
Period_Day,0.013873515179156809
has_other_comorbid,0.00013155465784369784
